Player           Team PS GP  Min  FGM  FGA  3M  3A FTM  FTA  OR   TR   AS  ST  TO  BK  PF  DQ   PTS  TC  EJ  FF Sta +/-
conley,mike       uta PG 43 1255  153  374  77 213  78   96  17  107  330  44  74  10  94   0   461   0   0   0  42   28
conley,mike       tot PG 67 1996  261  609 135 351 141  169  33  182  450  73 103  14 139   1   798   0   0   0  66   60
connaughton,pat   mil SG 61 1413  165  421 109 322  27   41  50  283   78  37  33  11  69   0   466   0   0   0  33  137
cooks,xavier      was SF 10  123   17   28   0   1   4   10  16   38    6   6   8   4  13   0    38   0   0   0   1   19
covington,rober   lac PF 48  756  102  229  54 136  30   40  32  167   57  38  32  33  86   0   288   0   0   0   0   -7
craig,torrey      pho SF 79 1909  228  500 100 254  32   45 144  424  117  50  72  59 179   0   588   0   0   0  60 -177
crowder,jae       mil PF 18  331   45   94  24  55  10   12  17   69   27  12   7   6  27   0   124   0   0   0   3    0
culver,jarrett    atl SG 10  131   17   43   1  12   9   13  10   38    6   6   7   2  14   1    44   0   0   0   1  -19
cunningham,cade   det PG 12  396   93  224  17  61  36   43  12   74   72  10  39   7  34   0   239   0   0   0  12  -60
curry,seth        bro SG 61 1177  208  449  94 232  51   55  13  100   99  36  51   7  96   0   561   0   0   0   7  -69
curry,stephen     gsw PG 56 1912  559 1133 273 639 257  281  39  341  352  52 179  20 117   0  1648   0   0   0  56  267
daniels,dyson     nor SG 58 1016   87  209  27  86  24   38  36  188  134  43  57  11  99   0   225   0   0   0  11   -9
davis,anthony     lal PF 56 1878  542  963  19  74 348  444 195  703  148  59 122 114 146   0  1451   0   0   0  54  205
davis,johnny      was PG 28  408   66  171  17  70  14   27   9   63   28  10  16   8  48   0   163   0   0   0   5  -54
davis,terence     sac SG 64  812  154  364  89 243  34   43  20  139   67  43  53  12 104   1   431   0   0   0   5   47
davison,jd        bos SG 12   61    8   19   2   7   1    2   2    9   11   2   4   2   5   0    19   0   0   0   0   -6
days,darius       hou SF  4   23    5   12   3  10   2    2   1    6    1   0   0   1   2   0    15   0   0   0   0    1
dedmon,dewayne    mia  C 30  333   64  129  11  37  32   44  28  109   16   7  19  14  61   0   171   0   0   0   0 -101
dedmon,dewayne    phi  C  8   72   13   22   1   2   1    5   6   25   10   2   6   5  14   0    28   0   0   0   1  -23
dedmon,dewayne    tot  C 38  405   77  151  12  39  33   49  34  134   26   9  25  19  75   0   199   0   0   0   1 -124
dellavedova,mat   sac PG 31  198   17   50   9  27   4    7   1   13   41   7  10   0  20   0    47   0   0   0   0  -49
derozan,demar     chi SF 74 2638  657 1303  46 142 456  523  34  343  377  83 153  36 186   0  1816   0   0   0  74   66
